Name,Platform,Publisher,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Year,Genre
"Warhammer 40,000: Dawn of War",PC,THQ  ,8.8,,0.01,0.04,,0,0.05,2004,Strategy
Who Wants to be a Millionaire,PC,Disney Interactive Studios  ,,,1.94,0,,,1.94,1999,Misc
World of Warcraft: Wrath of the Lich King,PC,Blizzard Entertainment  ,9.3,9.3,0.01,0.13,,1.18,1.32,2008,MMO
Zoo Tycoon,PC,Microsoft  ,7.1,,,0.03,,0,0.03,2001,Strategy
Fallout 3,PS3,Bethesda Softworks  ,8.8,,2.18,1.15,0.07,0.61,4,2008,Role-Playing
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks  ,9.2,,1.18,2.25,,0.56,3.99,2011,Role-Playing
Namco Museum: 50th Anniversary,PS2,Namco  ,,,2.08,1.35,,0.54,3.98,2005,Misc
NBA 2K16,PS4,2K Sports  ,8.7,,2.56,0.66,0.05,0.71,3.98,2015,Sports
Far Cry 5,PS4,Ubisoft  ,7.9,,1.44,1.73,0.15,0.62,3.95,2018,Action
Battlefield 4,PS4,Electronic Arts  ,8.3,,1.4,1.74,0.19,0.62,3.94,2013,Shooter
Assassin's Creed IV: Black Flag,PS3,Ubisoft  ,8.7,,1.34,1.86,0.13,0.62,3.94,2013,Action-Adventure
Half-Life 2: Episode One,PC,Electronic Arts  ,8.7,,,0,,0,0,2006,Shooter
Dark Souls III,PS4,Namco Bandai Games  ,,,1,0.63,0.44,0.34,2.42,2016,Role-Playing
Donkey Kong Land,GB,Nintendo  ,,,1.97,0.76,1.07,0.11,3.91,1995,Platform
English Training: Have Fun Improving Your Skills!,DS,Nintendo  ,,,,0.99,2.32,0.02,3.33,2006,Misc
Dragon Quest III,NES,Enix  ,,8,0.1,,3.77,0,3.87,1992,Role-Playing
Tony Hawk's Underground,PS2,Activision  ,8.7,,2.29,1.17,0.01,0.42,3.9,2003,Sports
Resistance: Fall of Man,PS3,Sony Computer Entertainment  ,8.5,9.1,1.74,1.72,0.14,0.76,4.37,2006,Shooter
Just Dance 2014,Wii,Ubisoft  ,7.4,,1.91,1.66,,0.33,3.89,2013,Music
Professor Layton and the Diabolical Box,DS,Nintendo  ,8.5,,0.9,1.76,0.92,0.37,3.95,2009,Adventure
Sports Champions,PS3,Sony Computer Entertainment  ,7.6,,2.15,1.13,0.1,0.5,3.88,2010,Sports
World Soccer Winning Eleven 8 International,PS2,Konami  ,9.3,,0.16,1.89,1.12,0.68,3.85,2005,Sports
Namco Museum Vol.1,PS,Namco  ,,,2.12,1.44,0.22,0.06,3.84,1996,Misc
The Legend of Zelda: Link's Awakening,GB,Nintendo  ,,,2.21,0.96,0.54,0.13,3.83,1993,Adventure
Resident Evil VII: Biohazard,PS4,Capcom  ,8.6,,0.88,1.56,0.41,0.46,3.31,2017,Action
Monster Hunter Freedom Unite,PSP,Capcom  ,7.7,9.7,0.47,0.57,4.13,0.34,5.5,2009,Role-Playing
Super Mario Maker,3DS,Nintendo  ,7.3,,0.78,1.04,1.25,0.16,3.23,2016,Platform
LEGO Indiana Jones: The Original Adventures,X360,LucasArts  ,7.5,,2.4,1.01,,0.36,3.76,2008,Adventure
The Sims: Unleashed,PC,Electronic Arts  ,7.3,,2.03,1.56,,0.17,3.76,2002,Simulation
